threshold,rewiring_probability,strategy,mean_final_adoption_share,std_final_adoption_share,mean_final_adoption_count,mean_steps_until_stable,cascade_rate,mean_average_clustering,mean_average_degree,number_of_runs
0.5,0.05,high_degree,0.022320000000000003,0.008488744047867394,11.16,3.64,0.12,0.5560889494949495,8.0,50
0.5,0.1,clustered,0.03236,0.00851112117605368,16.18,8.2,0.92,0.47624890354090355,8.0,50
0.5,0.1,high_degree,0.02016,0.0011313708498984754,10.08,2.12,0.02,0.47624890354090355,8.0,50
0.5,0.2,clustered,0.026000000000000002,0.005405967979549857,13.0,5.8,0.84,0.3439572423132423,8.0,50
0.5,0.2,high_degree,0.02004,0.0002828427124746187,10.02,2.04,0.02,0.3439572423132423,8.0,50
0.5,0.4,clustered,0.02116,0.001765427623517189,10.58,2.96,0.38,0.15155740415140412,8.0,50
0.5,0.4,high_degree,0.02008,0.00039589732744431486,10.04,2.08,0.04,0.15155740415140412,8.0,50
0.5,0.8,clustered,0.02032,0.0007406560798180407,10.16,2.32,0.16,0.019103238957121255,8.0,50
0.5,0.8,high_degree,0.02052,0.001129204162592543,10.26,2.4,0.2,0.019103238957121255,8.0,50
0.5,1.0,clustered,0.02044,0.0009293403409880336,10.22,2.4,0.2,0.0138149672401901,8.0,50
0.5,1.0,high_degree,0.02052,0.0008861749953869034,10.26,2.52,0.26,0.0138149672401901,8.0,50
